type;number;routeNumber;workTimeBegin;workTimeEnd;
bus;105;1;05:00;13:00;
tram;6718;5;06:15;14:15;
trolleybus;1722;6;14:30;20:00;
tram;6718;5;14:30;20:30;
trolleybus;1722;6;05:00;07:30;
bus;101;1;13:30;21:30;
bus;112;15;05:30;09:30;
bus;112;15;18:30;22:30;
trolleybus;1721;6;14:10;18:00;
bus;115;1;05:15;13:15;
tram;1718;5;06:30;14:30;
trolleybus;1702;6;14:45;20:15;
tram;6710;5;14:45;20:45;
trolleybus;2122;6;05:15;07:45;
bus;111;1;13:45;21:45;
bus;211;15;05:45;09:45;
bus;113;15;18:45;22:45;
trolleybus;2021;6;14:25;18:15;
bus;437;21;07:00;11:00;
tram;678;9;07:15;11:15;
trolleybus;4172;8;11:30;12:30;
tram;6708;9;12:00;15:30;
trolleybus;3212;8;12:00;17:30;
bus;201;5;19:30;23:00;
bus;119;15;05:00;09:45;
bus;212;15;18:00;22:00;
trolleybus;1721;8;15:15;22:00;
bus;315;7;05:00;12:00;
tram;1118;6;06:00;12:30;
trolleybus;1782;3;19:45;22:00;
tram;3714;3;10:40;18:40;
trolleybus;2120;8;10:45;17:45;
bus;161;1;11:40;18:40;
bus;411;15;06:15;11:45;
bus;118;15;07:15;12:45;
trolleybus;2022;7;05:15;13:15;
